"Tutor","Workshops","Allocate"
43,3,0
43,4,1
43,5,1
43,6,0
43,7,0
43,8,0
43,9,1
43,10,0
43,11,0
43,12,0
43,13,1
43,14,0
43,15,0
43,16,0
43,17,0
43,18,0
43,19,0
43,20,1
43,21,1
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,1
44,9,1
44,10,0
44,11,0
44,12,0
44,13,0
44,14,0
44,15,0
44,16,0
44,17,0
44,18,0
44,19,0
44,20,0
44,21,0
45,1,0
45,2,0
45,3,0
45,4,1
45,5,1
45,6,0
45,7,0
45,8,1
45,9,0
45,10,0
45,11,0
45,12,0
45,13,0
45,14,0
45,15,0
45,16,0
45,17,0
45,18,0
45,19,0
45,20,0
45,21,0
46,1,0
46,2,0
46,3,0
46,4,1
46,5,1
46,6,0
46,7,0
46,8,1
46,9,0
46,10,0
46,11,0
46,12,0
46,13,0
46,14,0
46,15,0
46,16,0
46,17,0
46,18,0
46,19,0
46,20,1
46,21,1
47,1,0
47,2,0
47,3,0
47,4,1
47,5,1
47,6,0
47,7,0
47,8,1
47,9,0
47,10,0
47,11,0
47,12,0
47,13,0
47,14,0
47,15,0
47,16,0
47,17,0
47,18,0
47,19,0
47,20,1
47,21,1
48,1,0
48,2,0
48,3,0
48,4,0
48,5,0
48,6,1
48,7,0
48,8,1
48,9,0
48,10,0
48,11,0
48,12,0
48,13,0
48,14,1
48,15,0
48,16,1
48,17,1
48,18,1
48,19,1
48,20,0
48,21,0
49,1,0
49,2,0
49,3,0
49,4,1
49,5,1
49,6,0
49,7,0
49,8,1
49,9,0
49,10,0
49,11,0
49,12,0
49,13,0
49,14,0
49,15,0
49,16,0
49,17,0
49,18,0
49,19,0
49,20,1
49,21,1
50,1,0
50,2,0
50,3,0
50,4,0
50,5,0
50,6,1
50,7,0
50,8,1
50,9,0
50,10,0
50,11,0
50,12,1
50,13,1
50,14,0
50,15,0
50,16,1
50,17,1
50,18,1
50,19,1
50,20,0
50,21,0
51,1,0
51,2,0
51,3,0
51,4,0
51,5,0
51,6,1
51,7,0
51,8,1
51,9,0
51,10,0
51,11,0
51,12,0
51,13,1
51,14,0
51,15,0
51,16,1
51,17,1
51,18,1
51,19,1
51,20,0
51,21,0
52,1,0
52,2,0
52,3,0
52,4,0
52,5,1
52,6,0
52,7,0
52,8,1
52,9,0
52,10,0
52,11,0
52,12,0
52,13,0
52,14,0
52,15,0
52,16,0
52,17,0
52,18,0
52,19,0
52,20,0
52,21,0
53,1,1
53,2,0
53,3,0
53,4,0
53,5,0
53,6,1
53,7,0
53,8,1
53,9,1
53,10,0
53,11,0
53,12,0
53,13,0
53,14,0
53,15,0
53,16,0
53,17,0
53,18,0
53,19,0
53,20,0
53,21,0
54,1,0
54,2,0
54,3,0
54,4,1
54,5,1
54,6,0
54,7,0
54,8,1
54,9,0
54,10,0
54,11,0
54,12,0
54,13,0
54,14,0
54,15,0
54,16,0
54,17,0
54,18,0
54,19,0
54,20,1
54,21,1
55,1,0
55,2,0
55,3,0
55,4,0
55,5,0
55,6,0
55,7,0
55,8,1
55,9,0
55,10,0
55,11,0
55,12,0
55,13,0
55,14,0
55,15,0
55,16,1
55,17,1
55,18,1
55,19,1
55,20,0
55,21,0
56,1,0
56,2,0
56,3,0
56,4,0
56,5,0
56,6,0
56,7,1
56,8,1
56,9,0
56,10,0
56,11,0
56,12,0
56,13,0
56,14,0
56,15,0
56,16,0
56,17,0
56,18,0
56,19,0
56,20,0
56,21,0
57,1,0
57,2,0
57,3,0
57,4,0
57,5,0
57,6,0
57,7,0
57,8,0
57,9,0
57,10,0
57,11,0
57,12,0
57,13,0
57,14,1
57,15,1
57,16,1
57,17,1
57,18,1
57,19,1
57,20,0
57,21,0
58,1,0
58,2,0
58,3,0
58,4,1
58,5,1
58,6,0
58,7,0
58,8,1
58,9,0
58,10,0
58,11,0
58,12,0
58,13,1
58,14,0
58,15,0
58,16,0
58,17,0
58,18,0
58,19,0
58,20,1
58,21,1
59,1,0
59,2,0
59,3,0
59,4,1
59,5,1
59,6,0
59,7,0
59,8,1
59,9,0
59,10,1
59,11,1
59,12,0
59,13,0
59,14,0
59,15,0
59,16,0
59,17,0
59,18,0
59,19,0
59,20,1
59,21,1
60,1,0
60,2,0
60,3,0
60,4,1
60,5,1
60,6,0
60,7,0
60,8,0
60,9,0
60,10,0
60,11,0
60,12,0
60,13,0
60,14,0
60,15,0
60,16,0
60,17,0
60,18,0
60,19,0
60,20,1
60,21,1
