Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Probability with Applications,MATH08067,PwA,Adri Olde Daalhuis,mdelane1,Semester 2,20,Course Closed,y,,,15,0,1,5,2,5,1,0,5,2,5,10,,Weekly
"Probability, Measure & Finance",MATH10024,PMF,Chak Hei Lo,alisonf,Full Year,20,was Chak Hei Lo / Sabanis,y,,10,15,1,1,5,0,5,1,1,5,2,5,7,4,Even
Projects total Semester 1,ProjS1,Proj_S1,,alisonf,Semester 1,0,Semester 1 Project total,y,,,15,0,,,,,1,,,,0,,,Weekly
Projects total Semester 2 ,ProjS2,Proj_S2,,alisonf,Semester 2,0,Semester 2 Project total,y,,,15,0,,,,,1,,,,0,,,Weekly
Proofs and Problem Solving,MATH08059,PPS,Jonas Azzam,ldurie,Semester 2,20,,y,,450,12,38,1.5,10,2,15,1,38,15,2,15,1155,1,Weekly
Python Programming,MATH11199,PPr,Stuart King,gaitchi2,Semester 1,10,,y,,230,15,15,2,10,0,20,1,15,20,2,20,613,P,Weekly
Quantum Information,MATH11169,QI,JOAN SIMON SOLER,mdelane1,Semester 1,10,,y,,10,15,1,1,5,0,5,1,1,5,2,5,7,5,Even
Real Analysis,MATH11136,RAna,ARAM KARAKHANYAN,mdelane1,Semester 1,10,NOT RUNNING,N,Y,,15,0,1,5,2,5,1,0,5,2,5,10,,Weekly
Regression and Simulation Methods,MATH00002,P_RSM,SMSTC,lcaudrey,Semester 1,0,,,,,15,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Research Skills for Computational Applied Mathematics,MATH11197,RSCAM,BENEDICT LEIMKUHLER,gaitchi2,Full Year,20,,y,,25,15,2,1,10,0,10,1,2,10,2,10,33,P,Weekly
Research Skills for Financial Mathematics,MATH11228,RSFM,Lukasz Szpruch,gaitchi2,Semester 2,10,,,,40,15,3,1,5,,5,1,3,5,2,5,27,P,Even
