Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Fundamentals of Pure Mathematics,MATH08064,FPM,NIKOLAOS BOURNAVEAS,mdelane1,Semester 2,20,,y,,320,12,27,1,10,2,10,1,27,10,2,10,553,2,Weekly
Further Complex Variables,MATH11233,FCV,JIM WRIGHT,mdelane1,Semester 2,10,Possibly alternating with  Functional Analysis wef 2023/24,,?,,15,0,1,5,,5,1,0,5,2,5,,5,odd
Galois Theory,MATH10080,GaTh,JON PRIDHAM,alisonf,Semester 2,10,,y,,50,15,3,1,5,0,5,1,3,5,3,10,50,4,Odd
General Topology,MATH10076,GTop,Clark Barwick,alisonf,Semester 1,10,,y,,75,15,5,1,5,0,5,1,5,5,2,5,50,4,Even
Generalised Regression Models,MATH11187,GRM,BRUCE WORTON,gaitchi2,Semester 1,10,,y,,140,15,9,1,5,0,5,1,9,5,3,10,140,P,Odd
Geometry,MATH10074,Geom,Johan Martens,gmazelyt,Semester 1,10,,y,,135,15,9,1,5,0,5,1,9,5,3,10,135,3,Even
Geometry of General Relativity,MATH11138,GGR,José Figueroa-O'Farrill,mdelane1,Semester 2,10,,y,,30,15,2,1,5,0,5,1,2,5,3,10,30,5,Odd
Group Theory,MATH10079,GrTh,SUSAN SIERRA,alisonf,Semester 1,10,,y,,70,15,5,1,5,0,5,1,5,5,2,5,47,4,odd
"Groups, Rings and Modules - SMSTC",MATH11100,P_GRM,SMSTC,lcaudrey,Semester 1,0,"Typically Find Tutors for Basic Algebra 1 & 2, Probability 1 & 2 and Geometry & Topology 1 & 2",N,,,15,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Honours Algebra,MATH10069,HAlg,IAIN GORDON,gmazelyt,Semester 2,20,,y,,270,15,18,1,10,0,10,1,18,10,2,10,360,3,Weekly
Honours Algebra - Skills,MATH10069_S,Halg-Sk,George Kinnear,gmazelyt,Semester 2,20,was Iain Gordon,y,,270,15,18,2,5,0,10,1,18,10,2.5,15,450,3,odd
Honours Analysis,MATH10068,HAna,MARTIN DINDOS,gmazelyt,Semester 1,20,,y,,240,15,16,1,10,0,10,1,16,10,2,10,320,3,Weekly
Honours Analysis - Skills,MATH10068_S,HAna-Sk,Richard Gratwick,gmazelyt,Semester 1,20,was Martin Dindos,y,,240,15,16,2,5,0,10,1,16,10,2.5,15,400,3,Odd
Honours Complex Variables,MATH10067,HCoV,Richard Gratwick,gmazelyt,Semester 2,20,,y,,390,15,26,1,10,0,10,1,26,10,2,10,520,3,Weekly
Honours Complex Variables - Skills,MATH10067_S,HCoV-Sk,Adri Olde Daalhuis,gmazelyt,Semester 2,20,was Richard Gratwick,y,,390,15,26,2,5,0,10,1,26,10,2.5,15,650,3,Even
Honours Differential Equations,MATH10066,HDEq,JACQUES VANNESTE,gmazelyt,Semester 1,20,,y,,395,15,26,1,10,0,10,1,26,10,2,10,527,3,Weekly
Honours Differential Equations - Skills,MATH10066_S,HDEq-Sk,George Kinnear,gmazelyt,Semester 1,20,was Jacques Vanneste,y,,395,15,26,2,5,2,10,1,26,10,2.5,15,678,3,Even
Incomplete Data Analysis,MATH11185,IDAn,Vanda Fernandes Inacio De Carvalho,gaitchi2,Semester 2,10,,y,,185,15,12,1,5,0,5,1,12,5,3,10,185,P,Even
Industrial Mathematics,MATH11231,IndM,Ben Goddard,gaitchi2,Semester 1,10,,,,35,15,,2,10,0,20,1,,20,2,20,,P,Weekly
Integer and Combinatorial Optimization,MATH11192,ICO,Sergio Garcia Quiles,gaitchi2,Semester 2,10,,y,,75,15,5,1,5,0,5,1,5,5,3,10,75,P,Even
"Interactions in Algebra, Geometry, and Topology",MATH11145,IAGT,IVAN CHELTSOV,mdelane1,Semester 2,10,Running,N,Y,45,15,3,1,5,2,5,1,3,5,2,5,40,5,Odd
Introduction to Data Science,MATH08077,Data ,MINE CETINKAYA-RUNDEL,franr,Semester 1,20,,y,,180,12,15,1.5,10,2,15,1,15,15,2.5,22.5,593,1,Weekly
Introduction to Lie Groups,MATH11053,ILG,Antony Maciocia,mdelane1,Semester 1,10,,,,20,15,1,1,5,,5,1,1,5,3,10,,5,Even
Introduction to Linear Algebra,MATH08057,ILA,Christopher Sangwin,ldurie,Semester 1,20,,y,,650,12,54,1.5,10,12,15,1,54,15,2,15,1805,1,Weekly
Introduction to Number Theory,MATH10071,INT,AGATA SMOKTUNOWICZ,gmazelyt,Semester 2,10,,y,,195,15,13,1,5,0,5,1,13,5,3,10,195,3,odd
Introduction to Partial Differential Equations,MATH10100,PDE,ARAM KARAKHANYAN,alisonf,Semester 1,10,,y,,45,15,3,1,5,0,5,1,3,5,3,10,45,4,Even
Introductory Mathematics with Applications,MATH07004,IMA,,franr,Semester 1,10,,,,50,15,,,,,,1,,,,0,0,1,Weekly
Introductory Probability and Statistics,MATH11203,IProba,Mans Thulin,gaitchi2,Semester 1,10,,y,,25,15,2,1,5,0,5,1,2,5,2,5,17,P,Weekly
Large Scale Optimization for Data Science,MATH11147,ODS,ALEMSEGED WELDEYESUS,gaitchi2,Semester 2,10,,y,,25,15,2,1,5,0,5,1,2,5,2,5,17,P,Odd
Large Scale Optimization for Data Science - Computer Lab,MATH11147_CL,ODS,ALEMSEGED WELDEYESUS,gaitchi2,Semester 2,10,,y,,25,15,2,2,2,0,4,1,2,4,2,4,13,P,Week 4 & 8
Linear Analysis,MATH10082,LAn,JIM WRIGHT,alisonf,Semester 1,10,,y,,35,15,2,1,5,0,5,1,2,5,3,10,35,4,Odd
"Linear Programming, Modelling and Solution",MATH10073,LPMS,JULIAN HALL,gmazelyt,Semester 2,10,,y,,130,15,9,1,5,0,5,1,9,5,2,5,87,3,Odd
"Linear Programming, Modelling and Solution - Computer Lab",MATH10073_CL,LPMS,JULIAN HALL,gmazelyt,Semester 2,10,,y,,130,15,9,2,5,0,10,1,9,10,2,10,173,3,Even
Machine Learning in Python,MATH11205,MlPy,Sara Wade,gaitchi2,Semester 2,10,,y,,165,15,11,1,10,0,10,1,11,10,2,10,220,P,Weekly
